Model,AUC-ROC,Accuracy,Precision,Recall,F1-Score,Train (s)
Random Forest,0.8236999147485082,0.7856635911994322,0.6176470588235294,0.5053475935828877,0.5558823529411765,1.28
LightGBM,0.82296623524245,0.765791341376863,0.55,0.6470588235294118,0.5945945945945946,3.08
XGBoost,0.8096928362913017,0.758694109297374,0.5416666666666666,0.5909090909090909,0.5652173913043478,0.63
