,0
Contract_Month-to-month,0.08126579075988878
ChargeRatio,0.04477484379170654
InternetService_Fiber optic,0.04125828004976968
OnlineSecurity_No,0.03665737053047889
tenure,0.03255101962060265
Contract_Two year,0.030873536463951426
TechSupport_No,0.02745532336275145
MonthlyCharges,0.026375846864146808
PaymentMethod_Electronic check,0.02564711609504915
PaperlessBilling,0.016564006616472095
TotalCharges,0.011443579024887617
StreamingMovies_Yes,0.010731887726682385
AvgMonthlyCharge,0.010609356928810442
TenureGroup,0.010487418975623388
OnlineBackup_No,0.008529609330573586
MultipleLines_No,0.008429962521462196
StreamingTV_Yes,0.007588078998733301
InternetService_DSL,0.006504263946337289
InternetService_No,0.005992624976238583
Dependents,0.005505663119541151
SeniorCitizen,0.0046842398514368305
OnlineSecurity_No internet service,0.004222005865225554
OnlineBackup_No internet service,0.0038445793735658535
MultipleLines_Yes,0.0032188016098979627
StreamingTV_No,0.0021215005982594547
OnlineSecurity_Yes,0.0019344162249145004
TechSupport_Yes,0.0018677075507553113
StreamingMovies_No,0.0017295070491279761
Contract_One year,0.001383027016830512
gender,0.0012710219025162616
PhoneService,0.0012473176344545195
OnlineBackup_Yes,0.0011850134196382295
TotalServices,0.0010550438026267742
DeviceProtection_No,0.001040337619006288
DeviceProtection_No internet service,0.0009539673656002321
PaymentMethod_Mailed check,0.0009243380490879754
MultipleLines_No phone service,0.0008946789752947731
PaymentMethod_Bank transfer (automatic),0.0008187384354446584
PaymentMethod_Credit card (automatic),0.0007891285131936837
IsSeniorWithPartner,0.00047111008732159153
TechSupport_No internet service,0.000430774152691622
StreamingMovies_No internet service,0.00036136040546286686
Partner,0.00030116583238802493
StreamingTV_No internet service,0.00023902560278838916
DeviceProtection_Yes,0.00013721064098434164
